city,country,date,temp_max,temp_min,precip_sum,precip_prob_max,weather_code,extracted_at
Manila,Philippines,2026-04-02,30.6,26.1,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Manila,Philippines,2026-04-03,30.4,25.9,0.0,0,1,2026-04-03T08:42:42.365182+00:00
Manila,Philippines,2026-04-04,29.5,25.9,0.0,0,1,2026-04-03T08:42:42.365182+00:00
Manila,Philippines,2026-04-05,29.8,26.0,0.0,0,1,2026-04-03T08:42:42.365182+00:00
Manila,Philippines,2026-04-06,30.5,26.3,0.0,0,1,2026-04-03T08:42:42.365182+00:00
Manila,Philippines,2026-04-07,30.0,27.0,0.0,4,1,2026-04-03T08:42:42.365182+00:00
Manila,Philippines,2026-04-08,30.3,26.7,0.0,8,1,2026-04-03T08:42:42.365182+00:00
Manila,Philippines,2026-04-09,31.0,26.7,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Cebu,Philippines,2026-04-02,32.0,22.3,0.0,3,3,2026-04-03T08:42:42.365182+00:00
Cebu,Philippines,2026-04-03,32.1,23.3,0.3,15,3,2026-04-03T08:42:42.365182+00:00
Cebu,Philippines,2026-04-04,33.2,22.5,0.0,3,3,2026-04-03T08:42:42.365182+00:00
Cebu,Philippines,2026-04-05,32.9,22.8,0.0,5,3,2026-04-03T08:42:42.365182+00:00
Cebu,Philippines,2026-04-06,33.5,22.5,0.0,3,3,2026-04-03T08:42:42.365182+00:00
Cebu,Philippines,2026-04-07,33.7,22.4,0.0,4,2,2026-04-03T08:42:42.365182+00:00
Cebu,Philippines,2026-04-08,31.8,21.7,0.6,13,80,2026-04-03T08:42:42.365182+00:00
Cebu,Philippines,2026-04-09,32.5,22.9,0.3,13,3,2026-04-03T08:42:42.365182+00:00
Davao,Philippines,2026-04-02,30.7,19.4,0.0,20,3,2026-04-03T08:42:42.365182+00:00
Davao,Philippines,2026-04-03,31.5,18.2,0.1,3,2,2026-04-03T08:42:42.365182+00:00
Davao,Philippines,2026-04-04,30.8,19.1,2.0,53,95,2026-04-03T08:42:42.365182+00:00
Davao,Philippines,2026-04-05,30.0,19.6,5.5,28,95,2026-04-03T08:42:42.365182+00:00
Davao,Philippines,2026-04-06,30.7,19.2,0.0,8,2,2026-04-03T08:42:42.365182+00:00
Davao,Philippines,2026-04-07,31.5,17.9,0.0,3,2,2026-04-03T08:42:42.365182+00:00
Davao,Philippines,2026-04-08,30.8,18.3,1.2,10,80,2026-04-03T08:42:42.365182+00:00
Davao,Philippines,2026-04-09,31.5,20.3,0.0,25,2,2026-04-03T08:42:42.365182+00:00
Singapore,Singapore,2026-04-02,31.9,25.1,1.9,43,95,2026-04-03T08:42:42.365182+00:00
Singapore,Singapore,2026-04-03,33.7,25.6,0.0,23,3,2026-04-03T08:42:42.365182+00:00
Singapore,Singapore,2026-04-04,32.1,25.2,3.9,35,95,2026-04-03T08:42:42.365182+00:00
Singapore,Singapore,2026-04-05,33.0,24.9,0.7,50,80,2026-04-03T08:42:42.365182+00:00
Singapore,Singapore,2026-04-06,33.1,25.6,5.2,58,80,2026-04-03T08:42:42.365182+00:00
Singapore,Singapore,2026-04-07,32.0,25.9,11.7,65,95,2026-04-03T08:42:42.365182+00:00
Singapore,Singapore,2026-04-08,33.6,25.2,6.0,55,96,2026-04-03T08:42:42.365182+00:00
Singapore,Singapore,2026-04-09,31.7,26.2,3.3,44,80,2026-04-03T08:42:42.365182+00:00
Kuala Lumpur,Malaysia,2026-04-02,34.5,25.1,0.0,30,3,2026-04-03T08:42:42.365182+00:00
Kuala Lumpur,Malaysia,2026-04-03,34.2,24.7,0.3,60,3,2026-04-03T08:42:42.365182+00:00
Kuala Lumpur,Malaysia,2026-04-04,32.5,25.5,0.8,75,80,2026-04-03T08:42:42.365182+00:00
Kuala Lumpur,Malaysia,2026-04-05,34.5,24.8,0.1,60,3,2026-04-03T08:42:42.365182+00:00
Kuala Lumpur,Malaysia,2026-04-06,35.2,25.1,1.2,83,3,2026-04-03T08:42:42.365182+00:00
Kuala Lumpur,Malaysia,2026-04-07,32.9,25.5,1.5,70,3,2026-04-03T08:42:42.365182+00:00
Kuala Lumpur,Malaysia,2026-04-08,34.6,24.6,0.3,65,80,2026-04-03T08:42:42.365182+00:00
Kuala Lumpur,Malaysia,2026-04-09,34.5,25.9,11.7,66,95,2026-04-03T08:42:42.365182+00:00
George Town,Malaysia,2026-04-02,32.7,26.5,0.5,88,80,2026-04-03T08:42:42.365182+00:00
George Town,Malaysia,2026-04-03,31.1,27.4,0.5,48,3,2026-04-03T08:42:42.365182+00:00
George Town,Malaysia,2026-04-04,31.9,27.2,0.7,23,3,2026-04-03T08:42:42.365182+00:00
George Town,Malaysia,2026-04-05,31.5,27.4,0.2,8,3,2026-04-03T08:42:42.365182+00:00
George Town,Malaysia,2026-04-06,31.5,27.5,4.8,44,80,2026-04-03T08:42:42.365182+00:00
George Town,Malaysia,2026-04-07,31.2,26.9,6.0,70,80,2026-04-03T08:42:42.365182+00:00
George Town,Malaysia,2026-04-08,32.8,26.6,0.6,48,80,2026-04-03T08:42:42.365182+00:00
George Town,Malaysia,2026-04-09,31.7,26.6,6.6,45,95,2026-04-03T08:42:42.365182+00:00
Johor Bahru,Malaysia,2026-04-02,31.6,24.9,2.7,43,95,2026-04-03T08:42:42.365182+00:00
Johor Bahru,Malaysia,2026-04-03,33.7,25.6,0.0,23,3,2026-04-03T08:42:42.365182+00:00
Johor Bahru,Malaysia,2026-04-04,31.8,25.3,3.7,35,95,2026-04-03T08:42:42.365182+00:00
Johor Bahru,Malaysia,2026-04-05,32.9,24.9,0.6,50,80,2026-04-03T08:42:42.365182+00:00
Johor Bahru,Malaysia,2026-04-06,33.5,25.5,8.1,58,96,2026-04-03T08:42:42.365182+00:00
Johor Bahru,Malaysia,2026-04-07,31.7,26.0,8.1,65,95,2026-04-03T08:42:42.365182+00:00
Johor Bahru,Malaysia,2026-04-08,33.7,25.2,2.1,55,80,2026-04-03T08:42:42.365182+00:00
Johor Bahru,Malaysia,2026-04-09,32.2,26.2,5.4,44,95,2026-04-03T08:42:42.365182+00:00
Bangkok,Thailand,2026-04-02,34.6,27.7,0.0,13,2,2026-04-03T08:42:42.365182+00:00
Bangkok,Thailand,2026-04-03,34.6,27.5,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Bangkok,Thailand,2026-04-04,34.0,27.5,0.0,3,3,2026-04-03T08:42:42.365182+00:00
Bangkok,Thailand,2026-04-05,35.5,27.8,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Bangkok,Thailand,2026-04-06,35.0,28.3,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Bangkok,Thailand,2026-04-07,35.1,27.8,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Bangkok,Thailand,2026-04-08,35.5,27.5,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Bangkok,Thailand,2026-04-09,34.3,27.5,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Chiang Mai,Thailand,2026-04-02,37.9,25.0,0.0,0,3,2026-04-03T08:42:42.365182+00:00
Chiang Mai,Thailand,2026-04-03,38.6,23.8,0.0,0,3,2026-04-03T08:42:42.365182+00:00
Chiang Mai,Thailand,2026-04-04,38.8,25.2,0.0,0,3,2026-04-03T08:42:42.365182+00:00
Chiang Mai,Thailand,2026-04-05,38.8,25.5,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Chiang Mai,Thailand,2026-04-06,39.1,24.9,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Chiang Mai,Thailand,2026-04-07,39.2,24.7,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Chiang Mai,Thailand,2026-04-08,39.8,23.8,0.0,0,1,2026-04-03T08:42:42.365182+00:00
Chiang Mai,Thailand,2026-04-09,39.4,23.0,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Phuket,Thailand,2026-04-02,31.4,28.5,2.8,65,95,2026-04-03T08:42:42.365182+00:00
Phuket,Thailand,2026-04-03,31.2,28.4,0.1,53,3,2026-04-03T08:42:42.365182+00:00
Phuket,Thailand,2026-04-04,30.1,29.0,0.0,8,3,2026-04-03T08:42:42.365182+00:00
Phuket,Thailand,2026-04-05,30.1,28.9,0.2,25,3,2026-04-03T08:42:42.365182+00:00
Phuket,Thailand,2026-04-06,29.8,28.9,1.7,30,3,2026-04-03T08:42:42.365182+00:00
Phuket,Thailand,2026-04-07,29.8,28.5,5.6,36,95,2026-04-03T08:42:42.365182+00:00
Phuket,Thailand,2026-04-08,30.1,29.0,0.4,18,3,2026-04-03T08:42:42.365182+00:00
Phuket,Thailand,2026-04-09,30.5,29.1,0.6,18,3,2026-04-03T08:42:42.365182+00:00
Hanoi,Vietnam,2026-04-02,29.8,22.0,0.0,8,3,2026-04-03T08:42:42.365182+00:00
Hanoi,Vietnam,2026-04-03,32.7,23.9,0.0,0,3,2026-04-03T08:42:42.365182+00:00
Hanoi,Vietnam,2026-04-04,29.9,24.5,0.0,8,3,2026-04-03T08:42:42.365182+00:00
Hanoi,Vietnam,2026-04-05,33.4,23.6,0.0,0,3,2026-04-03T08:42:42.365182+00:00
Hanoi,Vietnam,2026-04-06,37.0,24.4,0.0,0,45,2026-04-03T08:42:42.365182+00:00
Hanoi,Vietnam,2026-04-07,34.6,25.0,0.0,2,3,2026-04-03T08:42:42.365182+00:00
Hanoi,Vietnam,2026-04-08,32.2,25.0,0.0,3,3,2026-04-03T08:42:42.365182+00:00
Hanoi,Vietnam,2026-04-09,33.6,25.2,0.0,5,3,2026-04-03T08:42:42.365182+00:00
Ho Chi Minh City,Vietnam,2026-04-02,34.9,24.7,0.0,0,3,2026-04-03T08:42:42.365182+00:00
Ho Chi Minh City,Vietnam,2026-04-03,34.4,24.0,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Ho Chi Minh City,Vietnam,2026-04-04,35.5,23.9,0.0,0,45,2026-04-03T08:42:42.365182+00:00
Ho Chi Minh City,Vietnam,2026-04-05,35.6,23.9,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Ho Chi Minh City,Vietnam,2026-04-06,36.1,24.9,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Ho Chi Minh City,Vietnam,2026-04-07,37.0,25.4,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Ho Chi Minh City,Vietnam,2026-04-08,37.2,25.9,0.0,0,2,2026-04-03T08:42:42.365182+00:00
Ho Chi Minh City,Vietnam,2026-04-09,34.5,25.3,0.0,0,3,2026-04-03T08:42:42.365182+00:00
Da Nang,Vietnam,2026-04-02,31.2,22.5,0.0,0,45,2026-04-03T08:42:42.365182+00:00
Da Nang,Vietnam,2026-04-03,32.5,23.6,0.0,15,3,2026-04-03T08:42:42.365182+00:00
Da Nang,Vietnam,2026-04-04,35.9,24.4,0.5,35,80,2026-04-03T08:42:42.365182+00:00
Da Nang,Vietnam,2026-04-05,37.1,23.3,0.9,8,80,2026-04-03T08:42:42.365182+00:00
Da Nang,Vietnam,2026-04-06,38.4,23.9,0.0,3,3,2026-04-03T08:42:42.365182+00:00
Da Nang,Vietnam,2026-04-07,36.0,23.7,0.0,2,3,2026-04-03T08:42:42.365182+00:00
