city,country,date,temp_max,temp_min,precip_sum,precip_prob_max,weather_code,extracted_at
Manila,Philippines,2026-03-31,30.6,26.5,0.0,0,1,2026-04-01T09:53:09.027697+00:00
Manila,Philippines,2026-04-01,30.8,26.0,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Manila,Philippines,2026-04-02,31.0,25.9,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Manila,Philippines,2026-04-03,30.0,26.1,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Manila,Philippines,2026-04-04,29.6,25.7,0.0,0,1,2026-04-01T09:53:09.027697+00:00
Manila,Philippines,2026-04-05,30.1,25.8,0.0,0,0,2026-04-01T09:53:09.027697+00:00
Manila,Philippines,2026-04-06,30.7,26.1,0.0,0,0,2026-04-01T09:53:09.027697+00:00
Manila,Philippines,2026-04-07,30.6,26.5,0.0,1,1,2026-04-01T09:53:09.027697+00:00
Cebu,Philippines,2026-03-31,32.1,22.3,0.0,3,3,2026-04-01T09:53:09.027697+00:00
Cebu,Philippines,2026-04-01,31.3,21.7,0.0,3,3,2026-04-01T09:53:09.027697+00:00
Cebu,Philippines,2026-04-02,31.3,22.2,0.2,3,3,2026-04-01T09:53:09.027697+00:00
Cebu,Philippines,2026-04-03,31.5,23.1,0.4,10,80,2026-04-01T09:53:09.027697+00:00
Cebu,Philippines,2026-04-04,32.5,22.3,0.0,3,3,2026-04-01T09:53:09.027697+00:00
Cebu,Philippines,2026-04-05,32.1,22.8,0.0,3,3,2026-04-01T09:53:09.027697+00:00
Cebu,Philippines,2026-04-06,32.7,22.3,0.0,3,2,2026-04-01T09:53:09.027697+00:00
Cebu,Philippines,2026-04-07,33.5,21.3,0.0,1,2,2026-04-01T09:53:09.027697+00:00
Davao,Philippines,2026-03-31,30.7,17.8,0.0,8,2,2026-04-01T09:53:09.027697+00:00
Davao,Philippines,2026-04-01,30.9,19.5,0.0,3,3,2026-04-01T09:53:09.027697+00:00
Davao,Philippines,2026-04-02,30.2,19.0,1.1,23,80,2026-04-01T09:53:09.027697+00:00
Davao,Philippines,2026-04-03,30.6,19.5,1.1,25,80,2026-04-01T09:53:09.027697+00:00
Davao,Philippines,2026-04-04,28.9,19.8,5.4,45,80,2026-04-01T09:53:09.027697+00:00
Davao,Philippines,2026-04-05,29.1,19.6,5.4,18,80,2026-04-01T09:53:09.027697+00:00
Davao,Philippines,2026-04-06,31.0,20.6,0.0,10,2,2026-04-01T09:53:09.027697+00:00
Davao,Philippines,2026-04-07,32.4,17.8,0.0,35,2,2026-04-01T09:53:09.027697+00:00
Singapore,Singapore,2026-03-31,31.8,25.3,4.7,65,95,2026-04-01T09:53:09.027697+00:00
Singapore,Singapore,2026-04-01,32.4,25.5,7.7,98,96,2026-04-01T09:53:09.027697+00:00
Singapore,Singapore,2026-04-02,32.7,24.6,0.3,23,3,2026-04-01T09:53:09.027697+00:00
Singapore,Singapore,2026-04-03,33.3,24.9,0.0,10,3,2026-04-01T09:53:09.027697+00:00
Singapore,Singapore,2026-04-04,33.8,25.0,0.0,13,3,2026-04-01T09:53:09.027697+00:00
Singapore,Singapore,2026-04-05,32.0,25.6,2.1,45,3,2026-04-01T09:53:09.027697+00:00
Singapore,Singapore,2026-04-06,32.5,25.6,1.5,33,80,2026-04-01T09:53:09.027697+00:00
Singapore,Singapore,2026-04-07,32.2,25.8,5.1,48,3,2026-04-01T09:53:09.027697+00:00
Kuala Lumpur,Malaysia,2026-03-31,33.4,25.9,30.0,85,96,2026-04-01T09:53:09.027697+00:00
Kuala Lumpur,Malaysia,2026-04-01,29.2,24.5,25.3,85,95,2026-04-01T09:53:09.027697+00:00
Kuala Lumpur,Malaysia,2026-04-02,33.9,24.0,5.3,18,96,2026-04-01T09:53:09.027697+00:00
